,Char Rate,Save Rate,Cons Rate
2013,0.658703432,21.77,77.57129657
2014,0.659063973,22.55,76.79093603
2015,0.674329652,20.33,78.99567035
2016,0.654208847,19.67,79.67579115
2017,0.67407349,20.75,78.57592651
2018,0.687073017,21,78.31292698
2019,0.70221331,21.03,78.26778669
2020,0.679992318,20.47,78.85000768
